year,week_num,report_week_label,county_key,county_name,fips,cumul_positive_pools,cumul_avian,cumul_veterinary,cumul_sentinel_chk,cumul_wnv_fever,cumul_wnv_neuro,pools_tested,positive_pools,infection_rate,source,source_note,cumul_positive_pools_prev
2018,0,Week00,Dallas_TX,"Dallas County, TX",48113,43,2,2,45,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,107
2018,0,Week00,Dallas_TX,"Dallas County, TX",48113,30,1,1,31,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,43
2018,0,Week00,Dallas_TX,"Dallas County, TX",48113,21,21,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,30
2018,0,Week00,Dallas_TX,"Dallas County, TX",48113,15,15,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,21
2018,0,Week00,Dallas_TX,"Dallas County, TX",48113,12,12,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,15
2018,23,Week23,Dallas_TX,"Dallas County, TX",48113,2,2,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,12
2018,24,Week24,Dallas_TX,"Dallas County, TX",48113,5,5,0,0,0,0,,3,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,30,Week30,Dallas_TX,"Dallas County, TX",48113,49,2,2,51,0,0,,44,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,5
2018,31,Week31,Dallas_TX,"Dallas County, TX",48113,49,2,2,51,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,49
2018,32,Week32,Dallas_TX,"Dallas County, TX",48113,86,4,4,90,0,0,,37,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,49
2018,34,Week34,Dallas_TX,"Dallas County, TX",48113,107,1,4,5,112,0,,21,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,86
2018,35,Week35,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,107
2018,36,Week36,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2018,37,Week37,Dallas_TX,"Dallas County, TX",48113,2,2,0,0,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2018,38,Week38,Dallas_TX,"Dallas County, TX",48113,2,2,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,39,Week39,Dallas_TX,"Dallas County, TX",48113,2,2,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,40,Week40,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,41,Week41,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,42,Week42,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,43,Week43,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,44,Week44,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,45,Week45,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,46,Week46,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,47,Week47,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,48,Week48,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,49,Week49,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,50,Week50,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,51,Week51,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2018,52,Week52,Dallas_TX,"Dallas County, TX",48113,2,1,3,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2019,5,Week05,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,0
2019,6,Week06,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,7,Week07,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,8,Week08,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,9,Week09,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,10,Week10,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,11,Week11,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
