county_key,county_name,fips,year,total_pop,median_hh_income,housing_units,pop_65_plus,pct_65_plus,poverty_rate,total_pop_dp05,land_area_sqmi,pop_density_per_sqmi,housing_density_per_sqmi,data_complete
Cook_IL,"Cook County, IL",17031,2012,5197677.0,54648.0,2178739.0,625762.0,12.0393,16.4,5197677.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2013,5212372.0,54548.0,2176266.0,636280.0,12.2071,16.9,5212372.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2014,5227827.0,54828.0,2177033.0,649182.0,12.4178,17.2,5227827.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2015,5236393.0,55251.0,2176549.0,662883.0,12.6592,17.1,5236393.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2016,5227575.0,56902.0,2177342.0,677659.0,12.9632,16.7,5227575.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2017,5238541.0,59426.0,2183987.0,708546.0,13.5256,15.9,5238541.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2018,5223719.0,62088.0,2188394.0,724730.0,13.8738,15.1,5223719.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2019,5198275.0,64660.0,2193338.0,741170.0,14.258,14.4,5198275.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2020,5169517.0,67886.0,2198489.0,757688.0,14.6568,13.7,5169517.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2021,5265398.0,72121.0,2253936.0,774279.0,14.705,13.5,5265398.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2022,5225367.0,78304.0,2261319.0,793931.0,15.1938,13.4,5225367.0,-999.0,-999.0,-999.0,True
Cook_IL,"Cook County, IL",17031,2023,5185812.0,81797.0,2270349.0,806307.0,15.5483,13.3,5185812.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2009,9785295.0,54828.0,3370108.0,1007833.0,10.2995,-999.0,9785295.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2010,9758256.0,55476.0,3425736.0,1026041.0,10.5146,-999.0,9758256.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2011,9787747.0,56266.0,3437584.0,1048994.0,10.7174,-999.0,9787747.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2012,9840024.0,56241.0,3441416.0,1078555.0,10.9609,17.1,9840024.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2013,9893481.0,55909.0,3452901.0,1111022.0,11.2298,17.8,9893481.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2014,9974203.0,55870.0,3462075.0,1149893.0,11.5287,18.4,9974203.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2015,10038388.0,56196.0,3476718.0,1189759.0,11.8521,18.2,10038388.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2016,10057155.0,57952.0,3490118.0,1227202.0,12.2023,17.8,10057155.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2017,10105722.0,61015.0,3506903.0,1264984.0,12.5175,17.0,10105722.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2018,10098052.0,64251.0,3524321.0,1299277.0,12.8666,16.0,10098052.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2019,10081570.0,68044.0,3542800.0,1335978.0,13.2517,14.9,10081570.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2020,10040682.0,71358.0,3559790.0,1370141.0,13.6459,14.2,10040682.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2021,10019635.0,76367.0,3578801.0,1372217.0,13.6953,13.9,10019635.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2022,9936690.0,83411.0,3599561.0,1415856.0,14.2488,13.7,9936690.0,-999.0,-999.0,-999.0,True
LosAngeles_CA,"Los Angeles County, CA",06037,2023,9848406.0,87760.0,3624084.0,1448571.0,14.7087,13.6,9848406.0,-999.0,-999.0,-999.0,True
